"","GSM1052615","GSM1052616","GSM1052617","GSM1052618","GSM1052619","GSM1052620"
"COX15",10.9079,10.7748,10.8861,11.198,11.1053,11.0807
"DNMBP",10.6063,10.6796,10.7464,10.1179,10.1102,9.95032
"CPN1",8.02382,7.84869,7.81855,7.04567,7.06809,7.18751
"ERLIN1",11.6117,11.5991,11.7073,11.0153,11.047,11.0985
"CHUK",10.8103,10.5767,10.8075,10.1263,10.1124,10.217
"CWF19L1",10.8034,10.6069,10.6814,10.2365,10.1757,9.99472
"BLOC1S2",9.5918,9.54569,9.66503,9.63858,9.59624,9.69314
"PKD2L1",6.01266,6.15418,6.01742,5.92706,5.94315,6.00016
"SEC31B",7.26396,7.43232,7.35573,7.81591,7.81609,7.71142
"NDUFB8",11.9035,11.8096,11.7663,12.0614,11.9981,12.1531
"MRPL43",9.98876,9.88923,9.91572,10.0494,9.98331,9.98834
"PDZD7",8.17187,8.21615,8.11002,8.48826,8.43511,8.77028
"LBX1",8.05815,8.23329,8.08006,8.11324,7.80234,8.15593
"POLL",8.46816,8.37503,8.51871,8.99339,8.9067,9.00396
"FBXW4",8.48545,8.59563,8.45897,9.13442,9.08207,9.07393
"FGF8",7.43302,7.74212,7.4234,7.15986,7.14571,7.24031
"NPM3",10.0358,9.98872,10.081,9.73906,9.70787,9.88031
"OGA",10.5584,10.4722,10.5795,11.0433,11.0276,10.9426
"KCNIP2",7.22225,7.27088,7.16589,7.10544,7.27203,7.27633
"ARMH3",10.6055,10.4886,10.6642,10.8123,10.8002,10.7958
"LDB1",11.9245,11.9627,11.945,12.5155,12.4824,12.4823
"PITX3",7.47935,7.71623,7.37877,7.28444,7.38742,7.36421
"PSD",7.23998,7.5917,7.38775,7.35218,7.10158,7.4297
"CUEDC2",9.83434,9.6587,9.65212,10.2813,10.2384,10.4686
"C10orf95",7.88127,7.90352,7.99506,7.52237,7.38468,7.69727
"ACTR1A",11.8092,11.7189,11.7294,11.7589,11.7593,11.6631
"ARL3",9.13146,8.79764,9.18639,9.3338,9.1485,9.30356
"CYP17A1",5.78539,6.13928,5.88647,5.81093,5.65005,6.28535
"NT5C2",11.3738,11.3961,11.3792,11.4483,11.5596,11.1914
"CALHM2",10.0557,10.0317,10.0609,10.1902,10.0407,10.3012
"CALHM1",6.90386,7.19589,7.00495,6.90872,6.92352,6.92174
"CALHM3",7.36186,7.31292,7.2276,7.51541,7.27023,7.62314
"SH3PXD2A",10.0905,10.0915,10.1286,9.51653,9.33747,9.55749
"STN1",8.47273,8.16223,8.46868,8.41964,8.38762,8.24178
"COL17A1",7.65568,7.88525,7.53769,7.57626,7.45174,7.52272
"CFAP43",5.44949,5.39307,5.21847,5.66531,5.4957,5.50532
"ITPRIP",9.56986,9.67213,9.77725,9.16221,8.97656,9.01658
"SORCS1",7.80938,7.68181,7.95739,8.06216,8.17209,7.78854
"XPNPEP1",10.9226,10.9252,10.9109,10.9447,10.9251,10.8662
"SMNDC1",11.1066,10.9785,11.2016,10.5772,10.6087,10.7478
"RPL13AP6",8.14398,8.28068,8.22987,8.42448,8.56256,8.40368
"GPAM",8.88271,8.60197,8.83224,8.81681,8.7875,8.82859
"ZDHHC6",10.4838,10.2237,10.4584,10.4491,10.3447,10.3921
"NRAP",6.47251,6.5756,6.46316,6.34119,6.44126,6.52586
"DCLRE1A",9.32748,8.94267,9.20964,8.80154,9.00097,8.88767
"AFAP1L2",8.3673,8.0603,8.30122,8.27758,7.98046,8.1878
"ABLIM1",8.20814,8.14756,8.20504,8.49358,8.55852,8.35385
"GFRA1",6.55143,6.72188,6.36144,7.65147,7.27308,7.10109
"C10orf82",7.05806,7.25253,7.0217,7.00515,7.0942,7.13824
