"","GSM1052615","GSM1052616","GSM1052617","GSM1052618","GSM1052619","GSM1052620"
"DOT1L",9.40659,9.36123,9.402,8.82776,8.78269,9.07167
"SF3A2",10.7849,10.8059,10.7094,10.3701,10.1784,10.381
"OAZ1",13.0264,12.764,12.9371,13.0018,13.1054,13.1414
"SPPL2B",8.73718,8.7892,8.64565,9.03486,9.1656,9.36152
"TMPRSS9",7.31225,7.49034,7.2811,7.30805,7.22118,7.23709
"GADD45B",8.35227,8.28631,8.30539,8.4116,8.32072,8.57775
"THOP1",8.71433,8.78554,8.66593,8.34243,8.27155,8.04212
"ZNF554",7.116,7.21918,7.06469,7.29025,7.43471,7.22869
"ZNF555",7.92174,7.90223,8.0096,8.27048,8.24197,8.44128
"ZNF556",8.0466,7.84412,8.00057,7.82479,7.2738,7.92213
"ZNF57",8.9765,8.71207,9.03666,8.46573,8.82382,8.8139
"TLE6",6.82895,6.94254,6.84744,6.61243,6.73258,6.76916
"GNA11",10.9082,10.9245,10.936,10.4618,10.3161,10.3161
"GNA15",6.82581,7.05826,6.81508,6.30842,6.42951,6.69364
"S1PR4",7.54868,7.45607,7.42389,7.84303,7.8104,7.8273
"NCLN",10.4234,10.3936,10.366,10.0293,9.83607,9.96863
"CELF5",7.68032,7.87619,7.73235,7.65893,7.59243,7.81287
"NFIC",11.1759,11.2683,11.2672,11.0602,11.0025,11.1132
"FZR1",9.50062,9.56312,9.42951,9.27085,9.19447,9.39417
"C19orf71",8.67514,8.70728,8.49298,8.4286,8.48374,8.57022
"HMG20B",11.1633,11.213,11.1004,11.4376,11.4727,11.5994
"GIPC3",7.89338,7.93527,7.81428,7.82526,7.80769,7.80496
"CACTIN-AS1",7.14629,7.08177,6.97767,7.16703,7.20332,7.08538
"TJP3",7.74419,8.00519,7.84405,7.99204,7.96417,8.00741
"MRPL54",8.08773,7.97702,7.97702,7.84768,7.6142,7.99302
"ATCAY",6.71558,6.87028,6.69682,6.60767,6.56118,6.54043
"NMRK2",7.79491,7.74605,7.69271,7.68272,7.534,7.68951
"PIAS4",8.99124,8.96751,8.97749,8.93691,8.75904,9.05392
"CREB3L3",7.52217,7.78237,7.60987,7.96798,7.89848,8.00671
"ANKRD24",8.03424,8.06479,7.91662,8.0023,8.07682,8.03715
"EBI3",7.73629,7.80474,7.73611,8.63907,8.70639,8.60792
"YJU2",9.87314,9.77803,9.822,9.71547,9.5686,9.75228
"SHD",6.96951,7.0972,6.84019,6.79824,6.67379,6.87446
"FSD1",10.4475,10.3403,10.3226,10.0297,9.98763,9.94569
"MPND",8.22172,8.38815,8.2559,8.43128,8.32136,8.4453
"CHAF1A",10.097,9.9642,10.1437,8.62403,8.52803,8.50199
"HDGFL2",9.48306,9.41397,9.4357,9.2652,9.16878,9.31477
"TNFAIP8L1",8.21682,8.18756,8.24997,8.18228,8.14903,7.99863
"MIR7-3HG",6.44611,6.60334,6.29668,6.1971,6.26218,6.44392
"MIR7-3",6.98408,7.0527,7.03619,6.84681,6.84478,7.03485
"FEM1A",8.99662,8.84091,8.85097,8.81218,8.61064,8.63577
"UHRF1",11.4961,11.3062,11.4689,9.42194,9.09091,9.32237
"KDM4B",8.47041,8.44519,8.50278,8.53173,8.57732,8.68727
"ZNRF4",6.87417,7.05276,6.85831,6.8999,6.86539,6.93848
"SAFB",10.2296,10.0096,10.2467,9.56531,9.61556,9.70977
"HSD11B1L",8.65657,8.5657,8.6253,8.56883,8.55349,8.73385
"RPL36",12.5077,12.5204,12.3646,12.5169,12.3783,12.572
"CATSPERD",5.7607,5.88135,5.7607,5.68751,5.6859,5.89122
"NRTN",8.2896,8.41775,8.32237,8.28563,8.17131,8.2696
"VMAC",8.13371,8.23409,8.2904,8.98566,9.01047,9.04603
"CAPS",10.8995,11.0869,10.9549,12.5987,12.5651,12.7997
"ACSBG2",5.48908,5.52351,5.57531,5.45752,5.50486,5.43882
"CLPP",10.7629,10.7526,10.6599,10.4447,10.3575,10.5361
"ALKBH7",7.59313,7.40887,7.43225,7.92124,7.72376,7.84662
"CRB3",7.92667,8.14992,7.85087,7.58351,7.52944,7.83317
"TNFSF9",9.46355,9.55564,9.48057,9.00917,9.13621,8.83923
"TRIP10",9.8658,9.75434,9.96371,9.79648,9.72985,9.8312
"VAV1",6.58618,6.58241,6.57098,6.27422,6.38705,6.41575
"ADGRE1",6.29725,6.25395,6.25738,6.41419,6.25772,6.54153
"FLJ25758",6.66169,6.65722,6.41826,6.51226,6.12506,6.58238
"ZNF557",8.24481,8.03125,8.28132,8.38797,8.29325,8.31929
"ARHGEF18",9.10311,8.97511,8.93883,9.04458,9.10145,9.14135
"TEX45",6.7736,6.91896,6.65061,6.69472,6.84063,6.84311
"ZNF358",9.631,9.53921,9.47981,10.3046,10.0739,10.3156
"MCOLN1",10.7091,10.7728,10.702,10.6653,10.6152,10.6282
"PNPLA6",9.30105,9.20168,9.20608,9.93928,9.77567,9.88239
"CAMSAP3",7.88688,7.93235,7.85756,7.79212,7.5769,7.87342
"STXBP2",7.29367,7.6072,7.42497,7.37271,7.34066,7.56086
"RETN",7.81428,8.07849,7.7811,7.6187,7.50047,7.56109
"MCEMP1",6.62516,6.87642,6.68434,6.60527,6.49151,6.59821
"TRAPPC5",10.6213,10.7037,10.5438,10.7701,10.6585,10.7801
"CLEC4M",5.73379,6.10874,5.69306,5.59631,5.55904,5.40662
"CLEC4GP1",8.55483,8.79917,8.54494,8.2721,8.37719,8.49396
"EVI5L",8.33708,8.46981,8.15037,8.68905,8.61313,8.83359
"LRRC8E",7.99663,7.87428,7.83248,7.88213,7.7688,8.02886
"MAP2K7",9.1052,8.96364,9.08557,8.86494,8.56731,8.77675
"SNAPC2",9.97136,9.96073,9.82729,10.102,10.0369,10.0801
"CCL25",6.97397,7.15504,7.05699,6.94632,6.85929,7.11112
"CERS4",8.14212,8.05471,7.99612,9.81784,10.0906,9.78341
"ANGPTL4",8.09593,8.1499,8.4075,7.31511,7.3305,7.27522
"RAB11B",11.3384,11.3744,11.4028,11.4784,11.3726,11.6241
"MARCHF2",8.54357,8.64923,8.62087,9.21225,9.09374,8.8891
"HNRNPM",11.7481,11.6749,11.7561,11.2616,11.2262,11.2447
"OR2Z1",7.18082,7.32917,7.21803,7.11777,7.09142,7.08028
"MBD3L1",4.94671,5.0994,5.07035,4.71832,4.9585,5.11656
"OR1M1",7.31663,7.46285,7.33495,7.0794,6.99386,7.11674
"ZNF317",9.45334,9.46309,9.54971,9.34734,9.31246,9.31099
"OR7D2",5.86845,6.14787,5.91798,6.01551,5.94371,5.92304
"OR7E24",5.54104,5.55579,5.36996,5.47998,5.38662,5.26004
"UBL5",11.4131,11.3451,11.2798,11.506,11.5645,11.6874
"PIN1",10.9732,11.0327,10.9413,10.9642,10.9573,10.9964
"RDH8",7.261,7.24184,7.14948,6.92219,6.83566,7.20072
"C3P1",6.33644,6.4727,6.52625,6.28026,6.12445,6.42458
"SHFL",9.20662,9.18502,9.16053,9.78803,9.62238,9.61752
"SNORD105",7.13735,7.00108,6.87158,7.44586,7.14971,7.66521
"MRPL4",9.9178,9.87078,9.80366,9.36245,9.24081,9.40319
"ICAM1",9.86937,9.79774,9.90471,9.77796,9.85412,9.5771
"ICAM4",7.04728,7.09842,7.06039,6.79727,6.63104,7.15552
"ICAM5",8.23948,8.285,8.17215,8.33979,8.22489,8.33363
"PDE4A",9.1378,9.19249,9.11802,9.38271,9.1711,9.38283
"ATG4D",10.328,10.3216,10.3234,10.2395,10.1063,10.182
"SLC44A2",11.3505,11.2498,11.1929,12.3283,12.0967,12.1952
"ILF3",11.7494,11.7152,11.7818,11.3759,11.3016,11.3378
"QTRT1",9.46098,9.29862,9.4313,9.3548,9.21745,9.45357
"CARM1",11.3534,11.2997,11.3252,11.1183,10.9617,10.9677
"TIMM29",8.73587,8.65315,8.67845,8.77707,8.66959,8.61758
"SMARCA4",11.3595,11.2923,11.3294,11.0805,11.103,11.051
"LDLR",12.1095,12.1649,12.2574,9.04337,9.12478,9.20272
"ANGPTL8",7.45758,7.71356,7.52594,7.54512,7.53223,7.4897
"TSPAN16",5.37861,5.53165,5.40491,5.41637,5.26483,5.30331
"CCDC159",8.10887,8.14078,8.17735,8.80055,8.65957,8.8681
"PLPPR2",9.75353,9.87954,9.76822,10.2276,10.055,10.3752
"SWSAP1",8.62267,8.66556,8.55528,8.72688,8.59288,8.69981
"PRKCSH",12.6668,12.6327,12.646,12.7094,12.6623,12.7494
"CNN1",7.34798,7.31129,7.54927,7.67112,7.41012,7.54685
"ZNF627",9.32177,8.95842,9.31529,9.76593,9.84198,9.77526
"ZNF833P",6.976,6.87854,7.141,6.52277,6.57284,6.51974
"ZNF441",6.47959,6.22495,6.52703,6.5146,6.7351,6.38589
"ZNF491",6.41651,6.19842,6.29791,6.97891,6.99753,6.72448
"ZNF440",8.65489,8.4843,8.60316,8.69848,8.82357,8.49612
"ZNF439",7.05693,6.61859,6.99144,7.16897,7.49082,7.07612
"ZNF69",8.44831,8.35713,8.51286,8.73552,8.72687,8.57371
"ZNF763",6.76354,6.2517,6.48111,7.30811,7.34905,7.3857
"ZNF844",7.9228,7.73716,8.12204,8.39061,8.39572,8.24238
"ZNF136",9.27648,9.04621,9.21248,9.13645,9.19747,9.019
"ZNF791",10.5109,10.4715,10.5078,10.8041,10.7739,10.8527
"WDR83",8.99849,9.058,9.03807,9.46946,9.37372,9.53165
"GET3",11.3198,11.3051,11.333,11.1968,11.1512,11.3962
"BEST2",6.30744,6.33409,6.42202,6.21393,6.13002,6.31898
"JUNB",9.90026,9.9036,9.85264,9.81569,9.71379,9.94193
"RNASEH2A",10.7199,10.5327,10.6737,9.81588,9.55222,9.83571
"MAST1",7.10246,7.29555,7.0497,7.02137,6.90152,7.23603
"GCDH",9.30461,9.19296,9.14054,9.30446,9.16135,9.23633
"CALR",12.5069,12.4781,12.4853,12.2159,12.2038,12.2942
"RAD23A",11.15,11.1225,11.0526,10.6016,10.4373,10.8206
"DAND5",7.25569,7.4822,7.1489,6.95125,6.98819,7.36922
"NFIX",10.668,10.6593,10.6777,11.3648,11.3263,11.4499
"NACC1",11.4136,11.415,11.4389,11.0017,10.8019,11.007
"IER2",9.21642,9.07679,9.03534,8.98066,8.77057,8.98907
"YJU2B",10.2121,10.2206,10.0833,10.4794,10.3545,10.4764
"MRI1",10.9954,10.9586,10.9441,10.8597,10.7509,10.7195
"C19orf53",12.5594,12.6296,12.5946,12.5399,12.4934,12.6898
"ZSWIM4",8.52475,8.70518,8.48761,8.44114,8.3212,8.3256
"MIR181C",7.63606,7.8438,7.59849,7.33192,7.55763,7.69847
"NANOS3",8.67129,8.75533,8.66501,8.56551,8.59878,8.54143
"CC2D1A",8.86627,8.93664,8.87104,8.89816,8.85897,9.03357
"DCAF15",10.1169,10.0184,9.92871,9.55413,9.41942,9.74319
"RLN3",7.23549,7.26483,7.26119,7.15469,6.99168,7.13666
"ADGRE5",11.2179,11.1066,11.1329,11.4005,11.2234,11.3329
"PKN1",9.94021,9.87184,9.81752,10.0994,9.9851,10.0515
"SNRPG",11.2869,11.7675,10.9156,10.8142,10.9262,10.8581
"CLEC17A",7.41815,7.57319,7.56428,7.44826,7.36625,7.51029
"ZNF333",7.30288,7.25248,7.09003,7.77054,7.66218,7.58874
"OR7C2",6.42881,6.50382,6.54304,6.17332,6.43459,6.4586
"CCDC105",7.70466,7.77385,7.5404,7.53965,7.24856,7.70148
"CASP14",5.13251,5.26223,5.20706,5.15492,4.70571,5.16164
"OR1I1",7.11045,7.05407,7.06043,7.0127,6.96364,6.86298
"SYDE1",10.4474,10.3497,10.3967,9.92124,9.74794,9.93643
"CYP4F22",6.57002,6.66257,6.55392,6.26824,6.50803,6.58647
"CYP4F8",5.76165,5.80918,5.88353,5.84944,5.62434,5.60298
"CYP4F3",6.14805,6.17797,6.0923,6.28078,6.15111,6.37657
"CYP4F12",5.79624,5.91261,5.82225,6.76708,6.42948,6.72107
"OR10H2",5.8006,6.07831,5.69449,5.59926,5.82486,5.75769
"OR10H3",5.4631,5.58036,5.5607,5.45284,5.44439,5.33994
"OR10H5",7.32775,7.55661,7.32775,7.13804,7.04062,7.28007
"UCA1",11.6345,11.9195,11.8622,11.061,11.2883,10.786
"OR10H4",5.23748,5.0503,5.02936,5.25383,5.0986,5.15291
"LINC00661",6.13825,6.42329,6.08297,6.19037,6.22268,6.2627
"LINC00905",6.73894,6.99126,6.84673,6.55783,6.67823,6.58438
"FAM32A",11.3404,11.2717,11.3743,11.2411,11.4405,11.377
"AP1M1",11.7839,11.7481,11.7735,11.5092,11.4725,11.3713
"KLF2",8.67968,8.84544,8.63748,8.49772,8.45663,8.65873
"C19orf44",8.98496,8.95848,8.99311,9.01984,9.07736,8.98494
"TMEM38A",8.00237,7.95343,7.84581,8.28355,8.2279,8.21613
"NWD1",6.49615,6.88273,6.67794,6.42295,6.38983,6.63105
"SIN3B",9.74568,9.65169,9.70027,9.71683,9.77131,9.66015
"F2RL3",7.28738,7.6885,7.2813,7.11302,6.9953,7.30454
"MYO9B",10.2733,10.3287,10.2994,10.353,10.2906,10.2086
"USE1",11.6541,11.6836,11.5108,11.7799,11.7769,11.8886
"OCEL1",9.58922,9.47922,9.37316,10.0533,10.0671,10.0533
"BABAM1",11.3169,11.2447,11.2046,11.3641,11.3269,11.5184
"ANKLE1",8.15162,8.26252,8.02394,7.61669,7.58721,7.72561
"MRPL34",10.0935,10.0437,10.0433,10.111,10.019,10.1199
"DDA1",11.9908,12.0455,12.0347,11.7652,11.7328,12.113
"GTPBP3",9.15347,9.30552,9.17197,8.66144,8.58656,8.62155
"MVB12A",10.3742,10.2233,10.2454,10.2882,10.2335,10.3829
"SLC27A1",8.3667,8.3193,8.33202,8.28965,8.2069,8.31019
"PGLS",9.5076,9.31003,9.24122,9.89211,9.59189,9.85477
"NIBAN3",6.77412,6.77091,6.49962,6.79942,6.72675,6.79719
"COLGALT1",11.4244,11.4992,11.551,10.8697,10.8176,10.8859
"MAP1S",9.63215,9.55021,9.48742,9.07572,8.9618,9.2093
"FCHO1",7.39779,7.42858,7.21148,7.1705,7.1244,7.10482
"B3GNT3",7.72846,7.79497,7.72617,7.59766,7.40119,7.68619
"SNORA68",11.7139,11.6957,11.6922,11.9311,11.919,12.113
"SLC5A5",6.98559,6.97364,6.80255,6.45034,6.58497,6.76614
"CCDC124",11.5791,11.4241,11.5414,11.2574,11.0547,11.3103
"KCNN1",7.09987,7.33306,7.10556,7.39036,7.15619,7.38917
"ARRDC2",9.23613,9.13794,9.18394,9.11827,9.11616,9.11752
"MAST3",9.4477,9.33803,9.39372,9.8364,9.64925,9.9897
"PIK3R2",10.0667,10.0741,10.0277,10.5674,10.4212,10.6103
"IFI30",11.4106,11.2605,11.3167,12.3791,12.5458,12.326
"MPV17L2",11.0415,10.9742,11.005,10.5763,10.4726,10.5393
"GDF15",8.85309,8.83473,8.7899,8.48764,8.53466,8.35386
"SSBP4",9.94021,10.0117,9.86956,9.75863,9.56034,9.66417
"KXD1",11.5505,11.5493,11.492,11.3867,11.3715,11.3581
"UBA52",12.8134,12.7656,12.7343,12.8007,12.8119,12.8023
"REX1BD",10.4394,10.4801,10.3437,10.2808,10.1672,10.3075
"TMEM59L",8.17945,8.18305,8.0543,8.2439,8.14904,8.24849
"KLHL26",8.72629,8.68114,8.65071,8.67328,8.69285,8.87863
"CRTC1",9.87082,9.9436,9.89637,10.1724,10.0591,10.1812
"UPF1",10.8223,10.8582,10.8356,10.5576,10.5494,10.4522
"DDX49",10.1552,10.1146,10.0574,9.92442,9.94254,10.071
"ARMC6",10.3678,10.2902,10.2262,9.32276,9.40705,9.18056
"SLC25A42",8.82758,8.97958,8.74757,9.7901,9.62513,9.85589
"RFXANK",9.68111,9.5801,9.50948,9.74982,9.6903,9.85163
"NCAN",7.21216,7.57177,7.30848,7.09679,7.01432,7.27778
"GATAD2A",11.3724,11.3002,11.2664,10.6128,10.5094,10.5952
"MAU2",10.4208,10.3993,10.3216,10.7101,10.5753,10.6721
"NDUFA13",9.06243,9.02909,8.99306,9.25237,9.12088,9.31476
"CILP2",7.60517,7.65119,7.47968,7.5036,7.41223,7.53112
"ZNF101",9.73529,9.62989,9.64352,9.50981,9.59299,9.63646
"ZNF253",9.59813,9.41503,9.58076,9.57969,9.60323,9.51675
"ZNF90",11.6856,11.6461,11.6428,11.8159,11.7603,11.8999
"ZNF486",10.9947,10.8494,11.0067,10.6838,10.7577,10.7561
"ZNF66",8.07717,8.09571,8.22429,7.99217,8.14397,7.66357
"ZNF85",9.98004,9.68697,9.89804,9.41012,9.38942,9.36771
"ZNF430",8.99125,8.70041,8.81033,8.74934,8.87577,8.73268
"ZNF714",9.58377,9.48396,9.72019,9.06235,9.00991,9.04397
"ZNF431",9.00467,8.72674,8.95932,8.85329,9.03539,8.80215
"ZNF738",10.692,10.6158,10.6014,10.4806,10.5931,10.5235
"ZNF429",6.92602,6.68565,7.10233,8.63256,8.87947,8.5911
"CCNYL6",6.60741,6.69105,6.70104,6.50726,6.45555,6.1631
"PCGF6",11.0301,10.6805,10.8749,10.0235,10.219,9.74802
"ZNF729",6.3215,6.33703,6.63348,5.74569,5.56344,5.51577
"GOLGA2P9",7.11577,7.19503,7.11318,7.13554,6.5954,7.2588
"ZNF492",8.92508,8.76908,8.77419,7.4344,7.90045,7.55264
"ZNF730",10.4759,10.3237,10.5382,9.56776,9.69897,9.28043
"RPSAP58",8.51123,8.56708,8.8205,8.14127,8.3546,8.20128
"ZNF726",7.31515,6.90402,7.45038,6.44365,6.45714,6.38102
"ZNF254",9.55969,9.55981,9.55343,9.96119,10.0737,9.76672
"VSTM2B",8.69662,8.84502,8.64279,8.49487,8.72001,8.80359
"POP4",10.9128,10.6314,10.8691,10.7486,10.7619,10.6571
"PLEKHF1",8.39527,8.07673,8.22144,8.71798,8.84975,8.68003
"CCNE1",8.94715,8.85077,9.07413,8.26781,8.32161,8.30638
"URI1",11.5795,11.4583,11.534,11.8515,11.8977,11.8853
"ZNF536",7.60485,7.33221,7.70284,10.3052,10.8259,10.6459
"ZNF507",9.98035,9.78751,10.0231,9.89175,9.9638,9.8967
"DPY19L3",9.24868,8.9347,9.31639,9.20582,9.32936,9.08844
"PDCD5",9.79598,9.68879,9.73395,9.18075,9.12138,9.44263
"RGS9BP",6.70995,6.65628,6.45753,6.60232,6.61882,6.84148
"TDRD12",4.71538,4.75852,4.98331,4.69151,4.48305,4.83285
"FAAP24",9.30917,9.23467,9.23893,8.95452,8.95076,8.87924
"GPATCH1",8.89532,8.7002,8.99147,8.84916,8.6164,8.65896
"WDR88",6.21992,6.30728,6.23269,6.0721,5.81456,6.06858
"LRP3",8.54878,8.54696,8.43242,8.46355,8.33616,8.62761
"CEBPA-DT",6.46363,6.55065,6.40658,6.31396,6.05339,6.24736
"CEBPG",9.17413,8.98841,9.05044,8.83767,8.71556,8.81714
"CHST8",7.63589,7.73997,7.64634,7.62398,7.38822,7.62374
"KCTD15",8.97167,9.11445,9.12533,8.09311,7.94623,8.19377
"LSM14A",10.9783,10.7598,10.8772,10.7,10.6281,10.8304
"GARRE1",8.98677,8.86307,9.00681,9.02373,8.99752,9.01357
"GPI",12.746,12.7672,12.7182,12.8555,12.8013,12.6553
"PDCD2L",9.39394,9.06796,9.3941,8.61934,8.52419,8.75281
"UBA2",12.529,12.4238,12.5392,11.8503,11.922,11.8785
"WTIP",8.41967,8.63857,8.40962,8.32509,8.22451,8.33926
"ZNF302",9.52913,9.09482,9.42916,10.0065,10.0235,9.8758
"ZNF181",7.62827,7.2479,7.6569,8.36409,8.42871,7.86272
"ZNF30",6.97455,6.62303,6.88125,7.12651,6.75287,7.10339
"GRAMD1A",10.183,10.2326,10.136,10.3734,10.3026,10.3842
"SCN1B",8.09582,8.25411,8.02535,8.47142,8.48178,8.58391
"HPN",7.00242,7.23908,7.10597,7.11319,7.09171,7.08948
"FXYD3",11.26,11.2694,11.3728,11.9006,11.8378,12.0726
"FXYD1",7.85164,7.94771,7.72392,7.69043,7.46973,7.83466
"FXYD7",8.32457,8.53443,8.21607,8.39591,8.28848,8.35171
"FXYD5",11.3783,11.2895,11.2527,10.6829,10.5748,10.8347
"LSR",8.03332,7.99753,8.03328,8.10743,8.09611,8.09053
"USF2",11.137,11.2308,10.993,11.1279,11.0568,11.2491
"HAMP",7.56654,7.72675,7.4847,7.45145,7.37322,7.48085
"MAG",6.28346,6.31195,6.22132,6.25055,6.13549,6.24101
"CD22",8.67527,8.92986,8.86094,9.32555,9.79947,9.23454
"FFAR1",7.70809,8.16879,7.63128,7.9241,7.87649,7.92701
"FFAR3",6.03257,6.30458,6.22673,5.89541,6.05441,6.04602
"FFAR2",6.32995,6.43339,6.38265,6.24318,5.80434,6.31618
"GAPDHS",6.77879,6.89907,6.85344,6.61275,6.78134,6.55396
"TMEM147",12.1733,12.1421,12.1458,12.0736,12.0399,12.1312
"HAUS5",9.16416,8.99055,9.06626,8.77676,8.60713,8.88008
"RBM42",9.23837,9.06823,9.1327,9.15335,8.95373,9.10976
"ETV2",7.66474,7.91696,7.43538,7.6222,7.46497,7.78147
"COX6B1",12.099,11.8828,11.9712,12.3367,12.2086,12.281
"UPK1A",6.45596,6.54515,6.33367,6.75346,6.55734,6.74257
"ZBTB32",7.47379,7.41891,7.30434,7.15239,7.08017,7.19307
"KMT2B",8.84884,8.80898,8.82302,8.75684,8.65773,8.96872
"PSENEN",12.6977,12.6868,12.7792,12.806,12.7549,12.8244
"LIN37",10.5484,10.6343,10.5341,10.5943,10.488,10.7589
"PROSER3",8.99017,9.08174,8.94896,8.96525,8.82105,9.03915
"ARHGAP33",7.74362,7.81869,7.71223,7.78081,7.74241,7.82925
"KIRREL2",6.63465,6.73353,6.77801,6.60842,6.6255,6.65415
"APLP1",8.49051,8.57483,8.38934,9.1806,8.97285,8.98938
"HCST",7.1685,7.41768,6.99022,7.04791,7.08699,7.15798
"LRFN3",8.1889,8.31437,8.07783,8.18576,8.14729,8.4195
"WDR62",8.99301,8.95945,8.98191,7.90959,7.85667,7.96861
"OVOL3",7.44181,7.6501,7.49262,7.34441,7.24289,7.62774
"TBCB",12.1788,12.1674,12.1033,12.1366,11.9217,12.1759
"CAPNS1",12.4253,12.3853,12.3361,12.6761,12.5922,12.7252
"ZNF146",11.1511,11.0985,11.13,10.6642,10.6686,10.6368
"ZNF382",6.11009,5.72578,6.05259,6.42423,6.11406,6.12869
"ZNF567",7.38835,7.08869,7.29318,7.3316,7.24821,7.10939
"ZNF345",6.93579,6.64369,7.11575,7.62146,7.62983,7.23043
"ZNF568",7.302,7.13689,7.41248,7.29975,7.37761,6.99803
"ZNF420",7.58958,7.52814,7.52171,7.65076,7.583,7.60321
"ZNF383",9.39264,9.21415,9.27742,9.76028,9.75649,9.5234
"ZNF875",8.56263,8.36169,8.5808,8.8801,8.99301,8.74541
"ZNF527",7.76724,7.65511,7.71504,7.82739,7.73734,7.866
"ZNF570",8.95441,8.69034,9.06786,9.33651,9.24538,9.2739
"ZNF793",7.18329,7.1653,7.06859,7.25389,7.33929,7.28791
"SIPA1L3",9.35731,9.43645,9.45262,9.20145,9.10286,9.3273
"SPINT2",7.22587,7.21147,7.11287,6.9384,7.03102,7.09743
"C19orf33",9.34249,9.47044,9.22969,9.17943,9.17221,9.23363
"KCNK6",8.4182,8.45394,8.34197,8.39613,8.32372,8.22981
"CATSPERG",6.85885,7.07164,6.89198,6.83041,7.02325,7.06522
"PSMD8",12.8115,12.7515,12.7328,12.6171,12.6489,12.6419
"SPRED3",7.61557,7.83554,7.70327,7.17679,7.06509,7.28727
"FAM98C",9.17056,9.16181,9.03927,9.2715,9.13873,9.32289
"RYR1",7.21754,7.29322,7.13432,6.97529,6.97,7.11453
"EIF3K",12.7135,12.7383,12.756,12.7405,12.7014,12.6608
"ACTN4",13.3715,13.3684,13.3677,13.2596,13.2075,13.2167
"NFKBIB",9.87855,9.887,9.87513,9.50827,9.43632,9.56834
"MRPS12",9.70458,9.51851,9.56702,9.05681,9.01947,9.06256
"ACP7",6.47955,6.4774,6.48946,6.58616,6.10281,6.43065
"PAK4",9.85701,9.79675,9.80453,9.45792,9.35214,9.59867
"NCCRP1",8.14788,8.48122,8.16716,8.11492,8.27152,8.22952
"IFNL2",7.55982,7.53457,7.27822,7.2631,7.08624,7.57409
"IFNL1",7.36485,7.34656,7.17423,6.99313,7.26398,7.11978
"SAMD4B",10.2597,10.2588,10.3071,10.2176,10.0803,10.2385
"MED29",9.88809,9.82449,9.7973,10.0985,10.0292,10.1528
"ZFP36",8.56755,8.58375,8.46937,8.81505,8.72386,9.08149
"PLEKHG2",8.93722,8.88262,8.94897,9.16181,9.0741,9.17353
"SUPT5H",10.3816,10.2911,10.3435,10.333,10.1689,10.2992
"TIMM50",12.1556,12.2301,12.1472,11.7562,11.7207,11.8676
"DLL3",7.43826,7.21623,7.12153,6.96422,7.04545,7.14634
"SELENOV",7.87279,8.1546,7.93366,7.92386,7.70417,7.84367
"LGALS13",4.77106,4.95446,4.52358,5.00168,4.58061,4.77032
"LGALS16",4.67037,4.59796,4.5866,4.491,4.53497,4.46474
"LGALS17A",5.44779,5.63393,5.50257,5.61808,5.78388,5.75831
"LGALS14",5.69331,5.84548,5.75799,5.84837,5.44177,5.49479
"PSMC4",12.9099,12.9238,12.9227,12.5665,12.523,12.4926
"ZNF546",5.80249,5.42221,5.75926,6.44012,6.52131,6.19214
"MAP3K10",8.53307,8.55445,8.45267,8.57333,8.59501,8.82232
"PLD3",10.3407,10.3255,10.2521,11.3434,11.3029,11.4443
"SPTBN4",7.14752,7.29619,6.93122,6.95792,6.90579,7.07368
"SHKBP1",10.3736,10.4137,10.3286,10.9,10.8391,10.9345
"LTBP4",8.82139,8.88716,8.87205,9.44298,9.16922,9.42631
"ITPKC",8.41531,8.37573,8.36115,8.39953,8.41214,8.62684
"SNRPA",12.3121,12.3541,12.3681,11.9956,11.9417,11.9686
"CYP2G1P",4.99411,5.00431,4.90696,4.96114,5.06961,5.29847
"CYP2B7P",5.38294,5.60975,5.51202,5.59031,5.6448,5.51084
"CYP2B6",4.97035,4.94701,4.77175,4.63434,4.77002,4.96823
"CYP2F1",6.59747,6.76188,6.308,6.49531,6.30796,6.33456
"CYP2S1",7.85307,7.94367,7.88385,8.12713,8.03825,8.17002
"AXL",12.1867,12.1769,12.169,12.0723,11.9854,11.9783
"HNRNPUL1",12.2554,12.2732,12.2699,12.1675,12.0887,12.2782
"CCDC97",10.7181,10.8849,10.9342,10.8924,10.8695,11.0351
"TMEM91",7.80987,8.10436,7.83153,8.34739,8.22993,8.51357
"BCKDHA",10.479,10.3626,10.3614,10.9907,10.8955,11.1622
"CEACAM21",6.34687,6.63409,6.47879,6.06517,6.32886,6.11085
"CEACAM5",5.80426,5.93729,5.67926,5.7232,5.6022,5.76244
"CEACAM6",5.21449,5.25714,5.46829,5.33071,5.14483,5.80975
"CEACAM3",8.1056,8.25867,8.06116,8.1178,8.21562,8.15007
"DMRTC2",7.3056,7.55457,7.2559,7.11273,7.08739,7.32346
"RPS19",13.2047,13.1165,13.087,13.2079,13.2242,13.2736
"CD79A",7.04763,7.32274,7.13436,7.11299,7.05927,7.03819
"ARHGEF1",9.58585,9.50678,9.49876,9.53741,9.52689,9.42805
"ZNF574",8.83743,8.65397,8.76675,8.34651,8.29052,8.30314
"ZNF526",8.68759,8.56548,8.54933,8.31744,8.26587,8.3566
"CIC",9.18618,9.31424,9.11255,9.49028,9.39288,9.67447
"PRR19",6.46069,6.44033,6.39448,6.12137,6.24088,6.22325
"TMEM145",7.5084,7.564,7.40623,7.50387,7.52569,7.46541
"MEGF8",8.63223,8.45471,8.41052,9.34097,9.10754,9.44927
